lon lat cluster
-122.1202774 37.4177643 0
-122.122199 37.4178338 0
-122.1216651 37.4178684 0
-122.1222084 37.4178725 0
-122.1213103 37.4178883 0
-122.1200657 37.4178912 0
-122.1197127 37.4179227 0
-122.1191702 37.4179241 0
-122.1183595 37.4179254 0
-122.1188568 37.417958 0
-122.1222519 37.418017 0
-122.120559 37.4180227 0
-122.1208508 37.4180342 0
-122.1216825 37.4180614 0
-122.1213698 37.4180785 0
-122.1191528 37.4180845 0
-122.120007 37.4181032 0
-122.1196862 37.418115 0
-122.1188227 37.4181579 0
-122.1222387 37.4181581 0
-122.1205716 37.4182005 0
-122.121347 37.4182219 0
-122.1207918 37.4182283 1
-122.1216815 37.4182432 1
-122.1191582 37.4182534 1
-122.1200454 37.418285 1
-122.1197222 37.4182973 1
-122.1222211 37.418315 1
-122.1188176 37.418333 1
-122.1212946 37.4183725 1
-122.1216165 37.4183952 1
-122.120133 37.4184171 1
-122.1192383 37.4184282 1
-122.1221787 37.4184476 1
-122.1197706 37.4184617 1
-122.1188866 37.418506 1
-122.1215247 37.4185438 1
-122.1202946 37.4185528 1
-122.1221018 37.4185944 1
-122.1192723 37.4186093 1
-122.1199001 37.4186163 1
-122.1205042 37.4186325 1
-122.1207081 37.4186337 1
-122.1209053 37.4186436 1
-122.1189667 37.4186903 1
-122.118396 37.4187168 1
-122.1200678 37.4187208 1
-122.1193838 37.4187318 1
-122.1219846 37.4187681 1
-122.1211146 37.4188161 1
-122.1190529 37.4188354 1
-122.1202454 37.4188358 1
-122.1184666 37.4188551 1
-122.1208852 37.4188821 1
-122.1204343 37.4188904 1
-122.1206532 37.4188918 1
-122.1194751 37.4188925 1
-122.1218693 37.4189608 1
-122.1191995 37.4189947 1
-122.119607 37.419006 1
-122.1185687 37.4190117 1
-122.1192982 37.4191171 1
-122.1197986 37.4191433 1
-122.1186585 37.4191565 1
-122.1214424 37.4191689 1
-122.1199963 37.4191935 1
-122.1194476 37.4192362 1
-122.1212117 37.4192766 1
-122.1201891 37.4192816 1
-122.1207677 37.4192931 1
-122.1210048 37.4192982 1
-122.1215637 37.4193127 1
-122.118378 37.4193132 1
-122.1187994 37.4193167 1
-122.1203718 37.4193231 1
-122.1205896 37.4193324 1
-122.1196401 37.4193484 1
-122.120781 37.4193502 1
-122.1189225 37.4194336 1
-122.1198301 37.4194373 1
-122.1185247 37.4194586 1
-122.1200233 37.4195157 1
-122.1190927 37.4195571 1
-122.1202529 37.4195593 1
-122.1186467 37.419575 1
-122.1213243 37.4195753 1
-122.1211138 37.4195855 1
-122.1204511 37.4195982 1
-122.1208922 37.4196037 1
-122.1207066 37.4196124 1
-122.1206236 37.4196163 1
-122.1192498 37.4196585 1
-122.1187869 37.4196928 1
-122.1194423 37.4197619 1
-122.1189418 37.4198184 1
-122.1196598 37.4198476 1
-122.1191139 37.4199111 1
-122.1198232 37.4199159 1
-122.1183235 37.4199338 1
-122.1200312 37.4199697 1
-122.1202514 37.4200113 1
-122.1193217 37.4200177 1
-122.1209187 37.4200341 1
-122.1204707 37.4200355 1
-122.1206597 37.4200482 1
-122.1184679 37.4200542 1
-122.1194829 37.4200808 1
-122.1196849 37.4201542 1
-122.1186518 37.4201699 1
-122.1198667 37.4202174 1
-122.1200833 37.4202665 1
-122.1202754 37.4202752 1
-122.1188322 37.4202766 1
-122.1205118 37.4203019 1
-122.1207231 37.4203451 1
-122.1190178 37.4203807 1
-122.1191741 37.4204704 1
-122.1193135 37.4205673 1
-122.1195159 37.4206013 1
-122.1196951 37.4206306 1
-122.1198574 37.4206798 1
-122.120051 37.4207216 1
-122.1203857 37.4207329 1
-122.1201837 37.4207393 1
-122.1183118 37.4164425 2
-122.1183012 37.418098 2
-122.1183001 37.4159487 2
-122.1182538 37.4191586 2
-122.1182344 37.4182587 2
-122.1182322 37.4174177 2
-122.1182276 37.4167893 2
-122.1182065 37.4154946 2
-122.1181855 37.4190051 2
-122.1181601 37.4198237 2
-122.1180947 37.4188372 2
-122.1180741 37.4172648 2
-122.1180607 37.4166939 2
-122.1180546 37.4183797 2
-122.1180537 37.4197157 2
-122.1180443 37.4177706 2
-122.118028 37.415546 2
-122.1180205 37.4179471 2
-122.1180036 37.4175992 2
-122.1179933 37.4165738 2
-122.1179875 37.4162184 2
-122.1179418 37.416403 2
-122.1179343 37.418128 2
-122.1179327 37.4195894 2
-122.1179207 37.4171605 2
-122.1178872 37.4184957 2
-122.117869 37.415652 2
-122.1178649 37.419496 2
-122.1178436 37.4174286 2
-122.1177825 37.419367 2
-122.1177517 37.4182315 2
-122.1177303 37.4170787 2
-122.117703 37.419262 2
-122.1176905 37.4185644 2
-122.1176505 37.4173532 2
-122.1175677 37.4191213 2
-122.1175658 37.4159002 2
-122.1175616 37.4183283 2
-122.1175563 37.4189944 2
-122.1175219 37.4170287 2
-122.117466 37.4179062 2
-122.1174639 37.4186029 2
-122.1174619 37.4165802 2
-122.1174587 37.4160568 2
-122.1174571 37.4172825 2
-122.1174432 37.4176986 2
-122.1173811 37.4183741 2
-122.1173761 37.4161793 2
-122.117342 37.4163247 2
-122.1173006 37.4170082 2
-122.1172884 37.4165728 2
-122.1172596 37.4186066 2
-122.1172496 37.4191139 2
-122.1172382 37.4178295 2
-122.1172256 37.4172883 2
-122.117105 37.4165624 2
-122.1171032 37.4183195 2
-122.1170942 37.4170444 2
-122.1170818 37.4190515 2
-122.1170022 37.4173576 2
-122.1169957 37.418561 2
-122.1169267 37.4165898 2
-122.116914 37.4190249 2
-122.1169109 37.418218 2
-122.1168997 37.4171089 2
-122.1168651 37.4184963 2
-122.1168394 37.4174914 2
-122.1167661 37.4180749 2
-122.1167502 37.4166889 2
-122.1167273 37.4176381 2
-122.1167226 37.4189467 2
-122.1166914 37.4172135 2
-122.1166486 37.4183719 2
-122.1166133 37.4167625 2
-122.116561 37.4173533 2
-122.1165461 37.418841 2
-122.1165178 37.4182361 2
-122.1164457 37.4180856 2
-122.1164362 37.4175178 2
-122.1164128 37.4168968 2
-122.116384 37.417679 2
-122.1163822 37.4187387 2
-122.1162492 37.4169932 2
-122.1162161 37.4186057 2
-122.1160825 37.4185224 2
-122.1160796 37.4170796 2
-122.1159837 37.4172199 2
-122.1159088 37.4183802 2
-122.1158935 37.4175295 2
-122.1158857 37.4182299 2
-122.1158825 37.4181133 2
-122.1158753 37.4173373 2
-122.1158568 37.4176974 2
-122.1156349 37.4175644 2
-122.1155569 37.4181239 2
-122.1154978 37.4175225 2
-122.1153889 37.4180543 2
-122.1153535 37.4174673 2
-122.1152163 37.4180095 2
-122.115094 37.4178852 2
-122.1149762 37.4177993 2
-122.1148315 37.4177037 2
